Theme,Metric Name,Defintion,Variations (grouped by),Logic ,Formula,Abbreviation,Tool Used,Chart Link,Conversion Period,Rreference
Acquisition,Trial Rate,"Percentage of users takng trial out of no. of users signing up on that day (24 hours, not calendar date)","dialect 
channel
deeplink
content
campaign
platform",,trial_activated / signup_successful,TR,Amplitude,https://app.amplitude.com/analytics/STAGEAPP/chart/nv4js28t?linkingDashboardId=bn1wl7q7&sharingId=vPCcw9FH,"D0, can also be looked at D1, D7, D10","SignUps from : RAW_PROD.EVENTS.SIGNUP_SUCCESSFUL
Trials from : RAW_PROD.EVENTS_BACKEND.AF_START_TRIAL"
Acquisition,Cuts wise (TR/TCR/SR/SCR),,"content wise 
by dialect
by channel
PG wise (In app/ psp bifurcation)
timing (When do user watch mostly,cancel mostly, takes trial)
correlation with Retention
correlation with consumption
by Plan IDs",,,,,,,"Trials from : ANALYTICS_PROD.DBT_CORE.FCT_USER_SUBSCRIPTION_HISTORY - column name plan_category values can be trial, New Subscription, Renewal

Cancellation from : RAW_PROD.EVENTS_BACKEND.TRIAL_MANDATE_REVOKED and RAW_PROD.EVENTS_BACKEND.TRIAL_MANDATE_PAUSED"
Activation,AHA Moment Achieved,Percentage of users watching in there trial period for greater than equal to 4 days out of total no. of users taking trial on that day,"dialect 
channel
deeplink
content
campaign
platform",,,AHA,Snowflake,https://stage.metabaseapp.com/dashboard/3073-activation-dashboard?app_type=&date_range=past30days&dialect=&geography=&install_flag=&planid_removal=&tab=2774-aha-moment&time_grouping=,,Aha from : ANALYTICS_PROD.DBT_ADHOC.ADHOC_TRIAL_JOURNEY
Engagement,M0 Conversion,Percentage of new subscribers watching something in first 30 days of the subscription period out of total number of new subscribers,"cohort: trial watch days bucket
geography: core/ non core
install status: install  / non install
dialect
","For New Subscribers: 
- table: analytics_prod.dbt_core.fct_user_subscription_history 
- columns: user_id, subscription_start_at_utc, subscription_end_at_utc
- filters: plan_category = 'New Subscription'

For Content Watch History:
- table: analytics_prod.dbt_core.fct_user_content_watch_daily
- columns: user_id, watch_date, content_id
- filters: content_id != 0",Total M0 Watchers / Total New Subscribers,M0 WR,Snowflake,,,ANALYTICS_PROD.DBT_CORE.FCT_USER_SUBSCRIPTION_HISTORY 
Content,Intentional Rate,Percentage of watchers watching a particular content more than 60 seconds out of total watchers for that content,"Time period
",,Intentional Watchers / Total Watchers,,Snowflake,https://stage.metabaseapp.com/dashboard/930-content-performance-dashboard?completion_threshold=0.8&content_dialect=har&content_slug=&content_type=&duration_bucket=&hook_time_threshold_%28sec%29=240&last_secs_exclusion_%28completion_rate%29=0&show_slug=vidshi-bahu&tab=298-title-leaderboard&time_range=past60days,,ANALYTICS_PROD.DBT_CORE.FCT_USER_CONTENT_WATCH_DAILY 
Content,Completion Rate,"Intentional Watcher: A user who watches at least 60 seconds of a piece of content
Hooked Watcher: A user who has watched at least 240 seconds of content, but this can be modified using the Hook Time Threshold filter.
Completion Rate: Count of Completers / Count of Started Watching. If completion threshold is 0.8 and a video is 10 mins long, you will be called a completer if you watch atleast 8 minutes of the content.
Watch Rate: Average actual watch time / Length of the video. So if average actual watched time is 6 min 30 sec and length of the video is 10 mins, watch rate will be 65%.","content wise, all users, intentional users, hooked users",,Count of Completers / Count of Started Watching.,completion rate,Snowflake,https://stage.metabaseapp.com/dashboard/930-content-performance-dashboard?completion_threshold=0.8&content_dialect=har&content_slug=&content_type=&duration_bucket=&hook_time_threshold_%28sec%29=240&last_secs_exclusion_%28completion_rate%29=0&show_slug=mahapunarjanam-har&tab=298-title-leaderboard&time_range=past30days,,"For user journey : ANALYTICS_PROD.DBT_CORE.FCT_USER_CONTENT_WATCH_DAILY, 
for content reference : ANALYTICS_PROD.DBT_CORE.DIM_CONTENT"
Content,Watch Through Rate,How many Active user in a specific duration and in that a how many user watch a specific title.,Watch duration,,No Idea,WTR,Snowflake,No,,"ANALYTICS_PROD.DBT_CORE.FCT_USER_CONTENT_WATCH_DAILY,  ANALYTICS_PROD.DBT_CORE.DIM_CONTENT "
Content ,Consumpition Start,How many user to start a title,Time,,NO Idea,CS,Metabase / Snowflake,https://stage.metabaseapp.com/dashboard/930-content-performance-dashboard?completion_threshold=0.8&content_dialect=har&content_slug=&content_type=&duration_bucket=&hook_time_threshold_%28sec%29=240&last_secs_exclusion_%28completion_rate%29=0&show_slug=mahapunarjanam-har&tab=298-title-leaderboard&time_range=past30days,,ANALYTICS_PROD.DBT_CORE.FCT_USER_CONTENT_WATCH_DAILY
Activation,TCR & its deeper cohort correlation & user behaviour ,Trial Cancellation Rate,"Overall, dialect wise, app/web split, time(within 24hrs, d1, d2,etc), playback started, consumption %, pop-ups, acquisition source & acquisition content slug, feature interaction  D0 TCR & user activity of these cohorts like consumption not started, consumption started but not achieved consumption 20, consumption 20, consumption 90, watched more than 1 title, how many & which pop-ups or experiments viewed, Acquistion source and aquisition content for D0 TCR, app/web split, feature interaction(search,watchlist,homepage,download,profile)), Similarly D1-D7 TCR & its user behaviour & if D1 &D2 TCR cohorts have similar behaviour, D3-D7 TCR Cohorts have similar behaviour",,,TCR,Amplitude,,,"Use event trial_activated for activation, and for cancellation use trial_mandate_paused and trial_mandate_revoked"
Activation,Trial Retention ,% of users who doesn't cancel trial.,"consumption & app interaction behaviour, time, content, dialect,",,,,Amplitude,,,"Use event trial_activated for activation, and for cancellation use trial_mandate_paused and trial_mandate_revoked"
